u,S(u),delta,T(u),delta
4720,-2823.6,47.0,-0.685,0.010
4700,-2776.6,47.1,-0.675,0.010
4680,-2729.5,47.2,-0.665,0.010
4660,-2682.3,47.3,-0.655,0.010
4640,-2635.0,47.4,-0.645,0.011
4620,-2587.6,47.5,-0.634,0.010
4600,-2540.1,47.7,-0.624,0.010
4580,-2492.4,47.7,-0.614,0.010
4560,-2444.7,47.9,-0.604,0.011
4540,-2396.8,47.9,-0.593,0.010
4520,-2348.9,48.2,-0.583,0.011
4500,-2300.7,48.2,-0.572,0.011
4480,-2252.5,48.4,-0.561,0.011
4460,-2204.1,48.4,-0.550,0.011
4440,-2155.7,48.6,-0.539,0.011
4420,-2107.1,48.7,-0.528,0.011
4400,-2058.4,48.8,-0.517,0.011
4380,-2009.6,49.0,-0.506,0.011
4360,-1960.6,49.1,-0.495,0.011
4340,-1911.5,49.2,-0.484,0.012
4320,-1862.3,49.3,-0.472,0.011
4300,-1813.0,49.4,-0.461,0.012
4280,-1763.6,49.6,-0.449,0.011
4260,-1714.0,49.7,-0.438,0.012
4240,-1664.3,49.8,-0.426,0.012
4220,-1614.5,50.0,-0.414,0.012
4200,-1564.5,50.2,-0.402,0.012
4180,-1514.3,50.2,-0.390,0.012
4160,-1464.1,50.4,-0.378,0.012
4140,-1413.7,50.5,-0.366,0.012
4120,-1363.2,50.5,-0.354,0.012
4100,-1312.7,50.8,-0.342,0.012
4080,-1261.9,50.9,-0.330,0.013
4060,-1211.0,51.0,-0.317,0.012
4040,-1160.0,51.2,-0.305,0.013
4020,-1108.8,51.3,-0.292,0.013
4000,-1057.5,51.4,-0.279,0.013
3980,-1006.1,51.6,-0.266,0.013
3960,-954.5,51.7,-0.253,0.013
3940,-902.8,51.9,-0.240,0.014
3920,-850.9,52.1,-0.226,0.013
3900,-798.8,52.2,-0.213,0.013
3880,-746.6,52.3,-0.200,0.014
3860,-694.3,52.5,-0.186,0.013
3840,-641.8,52.6,-0.173,0.014
3820,-589.2,52.8,-0.159,0.014
3800,-536.4,52.9,-0.145,0.014
3780,-483.5,53.1,-0.131,0.014
3760,-430.4,53.2,-0.117,0.014
3740,-377.2,53.4,-0.103,0.015
3720,-323.8,53.6,-0.088,0.014
3700,-270.2,53.7,-0.074,0.015
3680,-216.5,53.9,-0.059,0.014
3660,-162.6,54.0,-0.045,0.015
3640,-108.6,54.2,-0.030,0.015
3620,-54.4,54.4,-0.015,0.015
3600,0.0,54.5,0.000,0.015
3580,54.5,54.7,0.015,0.015
3560,109.2,54.9,0.030,0.016
3540,164.1,55.1,0.046,0.016
3520,219.2,55.2,0.062,0.015
3500,274.4,55.4,0.077,0.016
3480,329.8,55.5,0.093,0.016
3460,385.3,55.8,0.109,0.016
3440,441.1,55.9,0.125,0.017
3420,497.0,56.1,0.142,0.016
3400,553.1,28.2,0.158,0.008
3390,581.3,28.1,0.166,0.009
3380,609.4,28.2,0.175,0.008
3370,637.6,28.2,0.183,0.009
3360,665.8,28.3,0.192,0.008
3350,694.1,28.4,0.200,0.008
3340,722.5,28.4,0.208,0.009
3330,750.9,28.4,0.217,0.008
3320,779.3,28.5,0.225,0.009
3310,807.8,28.6,0.234,0.009
3300,836.4,28.6,0.243,0.008
3290,865.0,28.6,0.251,0.009
3280,893.6,28.7,0.260,0.009
3270,922.3,28.7,0.269,0.009
3260,951.0,28.8,0.278,0.008
3250,979.8,28.8,0.286,0.009
3240,1008.6,28.9,0.295,0.009
3230,1037.5,28.9,0.304,0.009
3220,1066.4,29.0,0.313,0.009
3210,1095.4,29.0,0.322,0.009
3200,1124.4,29.1,0.331,0.009
3190,1153.5,29.1,0.340,0.009
3180,1182.6,29.2,0.349,0.010
3170,1211.8,29.2,0.359,0.009
3160,1241.0,29.3,0.368,0.009
3150,1270.3,29.3,0.377,0.009
3140,1299.6,29.4,0.386,0.010
3130,1329.0,29.4,0.396,0.009
3120,1358.4,29.5,0.405,0.010
3110,1387.9,29.5,0.415,0.009
3100,1417.4,29.6,0.424,0.010
3090,1447.0,29.6,0.434,0.009
3080,1476.6,29.7,0.443,0.010
3070,1506.3,29.8,0.453,0.010
3060,1536.1,29.8,0.463,0.009
3050,1565.9,29.8,0.472,0.010
3040,1595.7,29.9,0.482,0.010
3030,1625.6,30.0,0.492,0.010
3020,1655.6,30.0,0.502,0.010
3010,1685.6,30.1,0.512,0.010
3000,1715.7,30.1,0.522,0.010
2990,1745.8,30.2,0.532,0.010
2980,1776.0,30.2,0.542,0.010
2970,1806.2,30.3,0.552,0.011
2960,1836.5,30.3,0.563,0.010
2950,1866.8,30.4,0.573,0.010
2940,1897.2,30.5,0.583,0.010
2930,1927.7,30.5,0.593,0.011
2920,1958.2,30.6,0.604,0.010
2910,1988.8,30.6,0.614,0.011
2900,2019.4,30.7,0.625,0.010
2890,2050.1,30.8,0.635,0.011
2880,2080.9,30.8,0.646,0.011
2870,2111.7,30.9,0.657,0.011
2860,2142.6,30.9,0.668,0.011
2850,2173.5,31.0,0.679,0.011
2840,2204.5,31.1,0.690,0.011
2830,2235.6,31.1,0.701,0.011
2820,2266.7,31.2,0.712,0.011
2810,2297.9,31.2,0.723,0.011
2800,2329.1,31.3,0.734,0.011
2790,2360.4,31.3,0.745,0.011
2780,2391.7,31.4,0.756,0.011
2770,2423.1,31.5,0.767,0.012
2760,2454.6,31.5,0.779,0.011
2750,2486.1,31.6,0.790,0.012
2740,2517.7,31.7,0.802,0.011
2730,2549.4,31.7,0.813,0.012
2720,2581.1,31.8,0.825,0.012
2710,2612.9,31.9,0.837,0.012
2700,2644.8,31.9,0.849,0.011
2690,2676.7,32.0,0.860,0.012
2680,2708.7,32.1,0.872,0.012
2670,2740.8,32.1,0.884,0.012
2660,2772.9,32.2,0.896,0.012
2650,2805.1,32.3,0.908,0.013
2640,2837.4,32.3,0.921,0.012
2630,2869.7,32.4,0.933,0.012
2620,2902.1,32.5,0.945,0.012
2610,2934.6,32.5,0.957,0.013
2600,2967.1,32.6,0.970,0.013
2590,2999.7,32.7,0.983,0.012
2580,3032.4,32.9,0.995,0.013
2570,3065.3,32.9,1.008,0.013
2560,3098.2,33.0,1.021,0.013
2550,3131.2,33.1,1.034,0.013
2540,3164.3,33.2,1.047,0.013
2530,3197.5,33.3,1.060,0.013
2520,3230.8,33.3,1.073,0.014
2510,3264.1,33.5,1.087,0.013
2500,3297.6,33.6,1.100,0.013
2490,3331.2,33.6,1.113,0.014
2480,3364.8,33.8,1.127,0.014
2470,3398.6,33.8,1.141,0.013
2460,3432.4,34.0,1.154,0.014
2450,3466.4,34.0,1.168,0.014
2440,3500.4,34.2,1.182,0.014
2430,3534.6,34.2,1.196,0.014
2420,3568.8,34.3,1.210,0.015
2410,3603.1,34.5,1.225,0.014
2400,3637.6,34.5,1.239,0.014
2390,3672.1,34.6,1.253,0.015
2380,3706.7,34.8,1.268,0.014
2370,3741.5,34.8,1.282,0.015
2360,3776.3,35.0,1.297,0.015
2350,3811.3,35.0,1.312,0.015
2340,3846.3,35.2,1.327,0.015
2330,3881.5,35.3,1.342,0.015
2320,3916.8,35.3,1.357,0.016
2310,3952.1,35.5,1.373,0.015
2300,3987.6,35.6,1.388,0.015
2290,4023.2,35.7,1.403,0.016
2280,4058.9,35.8,1.419,0.016
2270,4094.7,35.9,1.435,0.015
2260,4130.6,36.0,1.450,0.016
2250,4166.6,36.2,1.466,0.016
2240,4202.8,36.2,1.482,0.017
2230,4239.0,36.4,1.499,0.016
2220,4275.4,36.4,1.515,0.016
2210,4311.8,36.6,1.531,0.017
2200,4348.4,36.7,1.548,0.017
2190,4385.1,36.9,1.565,0.016
2180,4422.0,36.9,1.581,0.017
2170,4458.9,37.1,1.598,0.017
2160,4496.0,37.2,1.615,0.018
2150,4533.2,37.3,1.633,0.017
2140,4570.5,37.4,1.650,0.017
2130,4607.9,37.6,1.667,0.018
2120,4645.5,37.6,1.685,0.018
2110,4683.1,37.8,1.703,0.018
2100,4720.9,38.0,1.721,0.018
2090,4758.9,38.1,1.739,0.018
2080,4797.0,38.2,1.757,0.019
2070,4835.2,38.3,1.776,0.018
2060,4873.5,38.4,1.794,0.019
2050,4911.9,38.6,1.813,0.019
2040,4950.5,38.7,1.832,0.019
2030,4989.2,38.9,1.851,0.019
2020,5028.1,38.9,1.870,0.019
2010,5067.0,39.1,1.889,0.020
2000,5106.1,39.2,1.909,0.020
1990,5145.3,39.4,1.929,0.019
1980,5184.7,39.6,1.948,0.020
1970,5224.3,39.6,1.968,0.021
1960,5263.9,39.8,1.989,0.020
1950,5303.7,40.0,2.009,0.021
1940,5343.7,40.1,2.030,0.020
1930,5383.8,40.2,2.050,0.021
1920,5424.0,40.4,2.071,0.022
1910,5464.4,40.6,2.093,0.021
1900,5505.0,40.7,2.114,0.021
1890,5545.7,40.8,2.135,0.022
1880,5586.5,41.0,2.157,0.022
1870,5627.5,41.1,2.179,0.022
1860,5668.6,41.3,2.201,0.022
1850,5709.9,41.5,2.223,0.023
1840,5751.4,41.6,2.246,0.022
1830,5793.0,41.8,2.268,0.023
1820,5834.8,41.9,2.291,0.024
1810,5876.7,42.1,2.315,0.023
1800,5918.8,42.3,2.338,0.024
1790,5961.1,42.6,2.362,0.024
1780,6003.7,42.8,2.386,0.024
1770,6046.5,43.1,2.410,0.024
1760,6089.6,43.3,2.434,0.024
1750,6132.9,43.5,2.458,0.025
1740,6176.4,43.8,2.483,0.025
1730,6220.2,44.1,2.508,0.026
1720,6264.3,44.3,2.534,0.026
1710,6308.6,44.5,2.560,0.026
1700,6353.1,44.8,2.586,0.026
1690,6397.9,45.1,2.612,0.027
1680,6443.0,45.4,2.639,0.027
1670,6488.4,45.7,2.666,0.027
1660,6534.1,45.9,2.693,0.028
1650,6580.0,46.2,2.721,0.028
1640,6626.2,46.5,2.749,0.028
1630,6672.7,46.7,2.777,0.029
1620,6719.4,47.1,2.806,0.029
1610,6766.5,47.3,2.835,0.030
1600,6813.8,23.8,2.865,0.015
1595,6837.6,23.9,2.880,0.015
1590,6861.5,23.9,2.895,0.015
1585,6885.4,24.0,2.910,0.016
1580,6909.4,24.1,2.926,0.015
1575,6933.5,24.1,2.941,0.015
1570,6957.6,24.3,2.956,0.016
1565,6981.9,24.3,2.972,0.015
1560,7006.2,24.4,2.987,0.016
1555,7030.6,24.5,3.003,0.016
1550,7055.1,24.6,3.019,0.016
1545,7079.7,24.6,3.035,0.016
1540,7104.3,24.7,3.051,0.016
1535,7129.0,24.8,3.067,0.016
1530,7153.8,24.9,3.083,0.016
1525,7178.7,24.9,3.099,0.016
1520,7203.6,25.0,3.115,0.017
1515,7228.6,25.1,3.132,0.016
1510,7253.7,25.2,3.148,0.017
1505,7278.9,25.3,3.165,0.017
1500,7304.2,25.5,3.182,0.017
1495,7329.7,25.5,3.199,0.017
1490,7355.2,25.6,3.216,0.017
1485,7380.8,25.6,3.233,0.018
1480,7406.4,25.7,3.251,0.017
1475,7432.1,25.8,3.268,0.018
1470,7457.9,25.9,3.286,0.017
1465,7483.8,26.0,3.303,0.018
1460,7509.8,26.1,3.321,0.018
1455,7535.9,26.1,3.339,0.018
1450,7562.0,26.3,3.357,0.018
1445,7588.3,26.3,3.375,0.018
1440,7614.6,26.4,3.393,0.019
1435,7641.0,26.5,3.412,0.018
1430,7667.5,26.7,3.430,0.019
1425,7694.2,26.7,3.449,0.018
1420,7720.9,26.8,3.467,0.019
1415,7747.7,26.9,3.486,0.020
1410,7774.6,26.9,3.506,0.019
1405,7801.5,27.0,3.525,0.019
1400,7828.5,27.2,3.544,0.019
1395,7855.7,27.3,3.563,0.020
1390,7883.0,27.4,3.583,0.020
1385,7910.4,27.5,3.603,0.020
1380,7937.9,27.6,3.623,0.020
1375,7965.5,27.6,3.643,0.020
1370,7993.1,27.9,3.663,0.020
1365,8021.0,28.1,3.683,0.021
1360,8049.1,28.4,3.704,0.021
1355,8077.5,28.6,3.725,0.021
1350,8106.1,28.8,3.746,0.021
1345,8134.9,29.0,3.767,0.022
1340,8163.9,29.2,3.789,0.022
1335,8193.1,29.4,3.811,0.022
1330,8222.5,29.6,3.833,0.022
1325,8252.1,29.9,3.855,0.023
1320,8282.0,30.1,3.878,0.023
1315,8312.1,30.3,3.901,0.023
1310,8342.4,30.6,3.924,0.023
1305,8373.0,30.8,3.947,0.024
1300,8403.8,12.4,3.971,0.009
1298,8416.2,12.4,3.980,0.010
1296,8428.6,12.5,3.990,0.010
1294,8441.1,12.5,4.000,0.009
1292,8453.6,12.5,4.009,0.010
1290,8466.1,12.6,4.019,0.010
1288,8478.7,12.6,4.029,0.009
1286,8491.3,12.7,4.038,0.010
1284,8504.0,12.7,4.048,0.010
1282,8516.7,12.7,4.058,0.010
1280,8529.4,12.8,4.068,0.010
1278,8542.2,12.8,4.078,0.010
1276,8555.0,12.9,4.088,0.010
1274,8567.9,12.9,4.098,0.010
1272,8580.8,12.9,4.108,0.010
1270,8593.7,13.0,4.118,0.010
1268,8606.7,13.0,4.128,0.011
1266,8619.7,13.1,4.139,0.010
1264,8632.8,13.1,4.149,0.010
1262,8645.9,13.1,4.159,0.011
1260,8659.0,13.2,4.170,0.010
1258,8672.2,13.2,4.180,0.011
1256,8685.4,13.2,4.191,0.011
1254,8698.6,13.3,4.202,0.010
1252,8711.9,13.4,4.212,0.011
1250,8725.3,13.4,4.223,0.011
1248,8738.7,13.4,4.234,0.010
1246,8752.1,13.5,4.244,0.011
1244,8765.6,13.5,4.255,0.011
1242,8779.1,13.6,4.266,0.011
1240,8792.7,13.6,4.277,0.011
1238,8806.3,13.7,4.288,0.011
1236,8820.0,13.7,4.299,0.012
1234,8833.7,13.8,4.311,0.011
1232,8847.5,13.8,4.322,0.011
1230,8861.3,13.8,4.333,0.011
1228,8875.1,13.9,4.344,0.012
1226,8889.0,14.0,4.356,0.011
1224,8903.0,14.1,4.367,0.011
1222,8917.1,14.2,4.378,0.012
1220,8931.3,14.3,4.390,0.012
1218,8945.6,14.4,4.402,0.011
1216,8960.0,14.5,4.413,0.012
1214,8974.5,14.6,4.425,0.012
1212,8989.1,14.7,4.437,0.012
1210,9003.8,14.7,4.449,0.012
1208,9018.5,14.9,4.461,0.013
1206,9033.4,15.0,4.474,0.012
1204,9048.4,15.0,4.486,0.012
1202,9063.4,15.2,4.498,0.013
1200,9078.6,15.3,4.511,0.013
1198,9093.9,15.4,4.524,0.013
1196,9109.3,15.4,4.537,0.013
1194,9124.7,15.6,4.550,0.013
1192,9140.3,15.7,4.563,0.013
1190,9156.0,15.8,4.576,0.013
1188,9171.8,15.9,4.589,0.014
1186,9187.7,16.0,4.603,0.013
1184,9203.7,16.1,4.616,0.014
1182,9219.8,16.2,4.630,0.014
1180,9236.0,16.3,4.644,0.014
1178,9252.3,16.5,4.658,0.014
1176,9268.8,16.5,4.672,0.014
1174,9285.3,16.7,4.686,0.014
1172,9302.0,16.8,4.700,0.014
1170,9318.8,16.9,4.714,0.015
1168,9335.7,17.0,4.729,0.014
1166,9352.7,17.2,4.743,0.015
1164,9369.9,17.2,4.758,0.015
1162,9387.1,17.4,4.773,0.015
1160,9404.5,17.5,4.788,0.015
1158,9422.0,17.6,4.803,0.016
1156,9439.6,17.7,4.819,0.015
1154,9457.3,17.9,4.834,0.015
1152,9475.2,18.0,4.849,0.016
1150,9493.2,18.1,4.865,0.016
1148,9511.3,18.2,4.881,0.016
1146,9529.5,18.4,4.897,0.016
1144,9547.9,18.5,4.913,0.016
1142,9566.4,18.6,4.929,0.016
1140,9585.0,18.7,4.945,0.017
1138,9603.7,18.9,4.962,0.016
1136,9622.6,19.0,4.978,0.017
1134,9641.6,19.2,4.995,0.017
1132,9660.8,19.3,5.012,0.017
1130,9680.1,19.4,5.029,0.017
1128,9699.5,19.6,5.046,0.017
1126,9719.1,19.7,5.063,0.018
1124,9738.8,19.8,5.081,0.017
1122,9758.6,20.0,5.098,0.018
1120,9778.6,20.1,5.116,0.018
1118,9798.7,20.3,5.134,0.018
1116,9819.0,20.4,5.152,0.019
1114,9839.4,20.6,5.171,0.018
1112,9860.0,20.7,5.189,0.019
1110,9880.7,20.9,5.208,0.019
1108,9901.6,21.0,5.227,0.019
1106,9922.6,21.2,5.246,0.019
1104,9943.8,21.3,5.265,0.019
1102,9965.1,21.5,5.284,0.020
1100,9986.6,10.8,5.304,0.010
1099,9997.4,10.9,5.314,0.010
1098,10008.3,10.9,5.324,0.009
1097,10019.2,10.9,5.333,0.010
1096,10030.1,10.9,5.343,0.010
1095,10041.0,11.0,5.353,0.010
1094,10052.0,11.0,5.363,0.011
1093,10063.0,11.1,5.374,0.010
1092,10074.1,11.1,5.384,0.010
1091,10085.2,11.2,5.394,0.010
1090,10096.4,11.2,5.404,0.010
1089,10107.6,11.2,5.414,0.011
1088,10118.8,11.3,5.425,0.010
1087,10130.1,11.3,5.435,0.010
1086,10141.4,11.3,5.445,0.011
1085,10152.7,11.4,5.456,0.010
1084,10164.1,11.5,5.466,0.011
1083,10175.6,11.5,5.477,0.011
1082,10187.1,11.5,5.488,0.010
1081,10198.6,11.6,5.498,0.011
1080,10210.2,11.6,5.509,0.011
1079,10221.8,11.7,5.520,0.011
1078,10233.5,11.7,5.531,0.010
1077,10245.2,11.8,5.541,0.011
1076,10257.0,11.8,5.552,0.011
1075,10268.8,11.8,5.563,0.011
1074,10280.6,11.9,5.574,0.012
1073,10292.5,11.9,5.586,0.011
1072,10304.4,12.0,5.597,0.011
1071,10316.4,12.0,5.608,0.011
1070,10328.4,12.1,5.619,0.011
1069,10340.5,12.1,5.630,0.012
1068,10352.6,12.1,5.642,0.011
1067,10364.7,12.2,5.653,0.011
1066,10376.9,12.3,5.664,0.012
1065,10389.2,12.3,5.676,0.011
1064,10401.5,12.3,5.687,0.012
1063,10413.8,12.4,5.699,0.011
1062,10426.2,12.4,5.710,0.012
1061,10438.6,12.5,5.722,0.012
1060,10451.1,12.5,5.734,0.012
1059,10463.6,12.6,5.746,0.012
1058,10476.2,12.6,5.758,0.012
1057,10488.8,12.7,5.770,0.012
1056,10501.5,12.7,5.782,0.012
1055,10514.2,12.8,5.794,0.012
1054,10527.0,12.8,5.806,0.012
1053,10539.8,12.8,5.818,0.012
1052,10552.6,12.9,5.830,0.013
1051,10565.5,13.0,5.843,0.012
1050,10578.5,13.0,5.855,0.012
1049,10591.5,13.0,5.867,0.013
1048,10604.5,13.1,5.880,0.012
1047,10617.6,13.2,5.892,0.013
1046,10630.8,13.2,5.905,0.012
1045,10644.0,13.2,5.917,0.013
1044,10657.2,13.3,5.930,0.012
1043,10670.5,13.4,5.942,0.013
1042,10683.9,13.4,5.955,0.013
1041,10697.3,13.5,5.968,0.013
1040,10710.8,13.5,5.981,0.013
1039,10724.3,13.6,5.994,0.013
1038,10737.9,13.6,6.007,0.013
1037,10751.5,13.7,6.020,0.013
1036,10765.2,13.8,6.033,0.014
1035,10779.0,13.8,6.047,0.013
1034,10792.8,13.8,6.060,0.013
1033,10806.6,13.9,6.073,0.014
1032,10820.5,13.9,6.087,0.013
1031,10834.4,14.0,6.100,0.014
1030,10848.4,14.0,6.114,0.014
1029,10862.4,14.1,6.128,0.013
1028,10876.5,14.2,6.141,0.014
1027,10890.7,14.2,6.155,0.014
1026,10904.9,14.2,6.169,0.014
1025,10919.1,14.3,6.183,0.014
1024,10933.4,14.4,6.197,0.014
1023,10947.8,14.4,6.211,0.015
1022,10962.2,14.5,6.226,0.014
1021,10976.7,14.6,6.240,0.014
1020,10991.3,14.6,6.254,0.014
1019,11005.9,14.7,6.268,0.015
1018,11020.6,14.7,6.283,0.014
1017,11035.3,14.8,6.297,0.014
1016,11050.1,14.8,6.311,0.015
1015,11064.9,14.9,6.326,0.015
1014,11079.8,15.0,6.341,0.014
1013,11094.8,15.0,6.355,0.015
1012,11109.8,15.1,6.370,0.015
1011,11124.9,15.1,6.385,0.015
1010,11140.0,15.2,6.400,0.015
1009,11155.2,15.2,6.415,0.015
1008,11170.4,15.3,6.430,0.015
1007,11185.7,15.4,6.445,0.016
1006,11201.1,15.4,6.461,0.015
1005,11216.5,15.5,6.476,0.015
1004,11232.0,15.6,6.491,0.016
1003,11247.6,15.6,6.507,0.015
1002,11263.2,15.7,6.522,0.016
1001,11278.9,15.8,6.538,0.016
1000,11294.7,15.8,6.554,0.016
999,11310.5,15.9,6.570,0.016
998,11326.4,16.0,6.586,0.016
997,11342.4,16.0,6.602,0.016
996,11358.4,16.1,6.618,0.016
995,11374.5,16.1,6.634,0.016
994,11390.6,16.2,6.650,0.017
993,11406.8,16.3,6.667,0.016
992,11423.1,16.3,6.683,0.016
991,11439.4,16.4,6.699,0.017
990,11455.8,16.5,6.716,0.017
989,11472.3,16.5,6.733,0.016
988,11488.8,16.6,6.749,0.017
987,11505.4,16.6,6.766,0.017
986,11522.0,16.7,6.783,0.017
985,11538.7,16.8,6.800,0.017
984,11555.5,16.9,6.817,0.017
983,11572.4,16.9,6.834,0.017
982,11589.3,17.0,6.851,0.018
981,11606.3,17.1,6.869,0.017
980,11623.4,17.2,6.886,0.017
979,11640.6,17.2,6.903,0.018
978,11657.8,17.3,6.921,0.018
977,11675.1,17.3,6.939,0.018
976,11692.4,17.4,6.957,0.017
975,11709.8,17.5,6.974,0.018
974,11727.3,17.6,6.992,0.018
973,11744.9,17.7,7.010,0.019
972,11762.6,17.7,7.029,0.018
971,11780.3,17.8,7.047,0.018
970,11798.1,17.9,7.065,0.019
969,11816.0,18.0,7.084,0.018
968,11834.0,18.0,7.102,0.019
967,11852.0,18.0,7.121,0.019
966,11870.0,18.1,7.140,0.018
965,11888.1,18.1,7.158,0.019
964,11906.2,18.1,7.177,0.019
963,11924.3,18.2,7.196,0.019
962,11942.5,18.2,7.215,0.019
961,11960.7,18.3,7.234,0.019
960,11979.0,18.3,7.253,0.019
959,11997.3,18.3,7.272,0.019
958,12015.6,18.4,7.291,0.019
957,12034.0,18.4,7.310,0.019
956,12052.4,18.4,7.329,0.020
955,12070.8,18.5,7.349,0.019
954,12089.3,18.6,7.368,0.019
953,12107.9,18.5,7.387,0.020
952,12126.4,18.6,7.407,0.019
951,12145.0,18.7,7.426,0.020
950,12163.7,18.7,7.446,0.020
949,12182.4,18.7,7.466,0.019
948,12201.1,18.8,7.485,0.020
947,12219.9,18.8,7.505,0.020
946,12238.7,18.8,7.525,0.020
945,12257.5,18.9,7.545,0.020
944,12276.4,19.0,7.565,0.020
943,12295.4,18.9,7.585,0.021
942,12314.3,19.0,7.606,0.020
941,12333.3,19.1,7.626,0.020
940,12352.4,19.1,7.646,0.020
939,12371.5,19.1,7.666,0.021
938,12390.6,19.2,7.687,0.020
937,12409.8,19.2,7.707,0.021
936,12429.0,19.2,7.728,0.020
935,12448.2,19.3,7.748,0.021
934,12467.5,19.3,7.769,0.020
933,12486.8,19.4,7.789,0.021
932,12506.2,19.4,7.810,0.021
931,12525.6,19.5,7.831,0.021
930,12545.1,19.5,7.852,0.021
929,12564.6,19.6,7.873,0.021
928,12584.2,19.6,7.894,0.021
927,12603.8,19.6,7.915,0.021
926,12623.4,19.7,7.936,0.022
925,12643.1,19.7,7.958,0.021
924,12662.8,19.8,7.979,0.021
923,12682.6,19.8,8.000,0.022
922,12702.4,19.8,8.022,0.021
921,12722.2,19.9,8.043,0.022
920,12742.1,19.9,8.065,0.022
919,12762.0,20.0,8.087,0.021
918,12782.0,20.0,8.108,0.022
917,12802.0,20.0,8.130,0.022
916,12822.0,20.1,8.152,0.022
915,12842.1,20.2,8.174,0.022
914,12862.3,20.2,8.196,0.022
913,12882.5,20.2,8.218,0.023
912,12902.7,20.3,8.241,0.022
911,12923.0,20.3,8.263,0.022
910,12943.3,20.4,8.285,0.022
909,12963.7,20.4,8.307,0.023
908,12984.1,20.4,8.330,0.022
907,13004.5,20.5,8.352,0.023
906,13025.0,20.6,8.375,0.022
905,13045.6,20.6,8.397,0.023
904,13066.2,20.6,8.420,0.023
903,13086.8,20.7,8.443,0.023
902,13107.5,20.7,8.466,0.023
901,13128.2,20.8,8.489,0.023
900,13149.0,20.8,8.512,0.023
899,13169.8,20.9,8.535,0.023
898,13190.7,20.9,8.558,0.024
897,13211.6,21.0,8.582,0.023
896,13232.6,21.0,8.605,0.023
895,13253.6,21.1,8.628,0.024
894,13274.7,21.1,8.652,0.023
893,13295.8,21.1,8.675,0.024
892,13316.9,21.2,8.699,0.024
891,13338.1,21.3,8.723,0.024
890,13359.4,21.3,8.747,0.024
889,13380.7,21.3,8.771,0.024
888,13402.0,21.4,8.795,0.024
887,13423.4,21.5,8.819,0.024
886,13444.9,21.5,8.843,0.025
885,13466.4,21.5,8.868,0.024
884,13487.9,21.6,8.892,0.024
883,13509.5,21.6,8.916,0.025
882,13531.1,21.7,8.941,0.024
881,13552.8,21.7,8.965,0.025
880,13574.5,21.8,8.990,0.025
879,13596.3,21.8,9.015,0.025
878,13618.1,21.9,9.040,0.025
877,13640.0,21.9,9.065,0.025
876,13661.9,22.0,9.090,0.025
875,13683.9,22.0,9.115,0.025
874,13705.9,22.1,9.140,0.026
873,13728.0,22.1,9.166,0.025
872,13750.1,22.2,9.191,0.025
871,13772.3,22.2,9.216,0.026
870,13794.5,22.3,9.242,0.026
869,13816.8,22.3,9.268,0.025
868,13839.1,22.4,9.293,0.026
867,13861.5,22.4,9.319,0.026
866,13883.9,22.5,9.345,0.026
865,13906.4,22.6,9.371,0.026
864,13929.0,22.6,9.397,0.026
863,13951.6,22.6,9.423,0.026
862,13974.2,22.7,9.449,0.026
861,13996.9,22.8,9.475,0.027
860,14019.7,22.8,9.502,0.027
859,14042.5,22.9,9.529,0.026
858,14065.4,22.9,9.555,0.027
857,14088.3,23.0,9.582,0.027
856,14111.3,23.0,9.609,0.027
855,14134.3,23.1,9.636,0.027
854,14157.4,23.1,9.663,0.027
853,14180.5,23.2,9.690,0.027
852,14203.7,23.2,9.717,0.028
851,14226.9,23.3,9.745,0.027
850,14250.2,23.3,9.772,0.027
849,14273.5,23.4,9.799,0.028
848,14296.9,23.5,9.827,0.028
847,14320.4,23.5,9.855,0.027
846,14343.9,23.6,9.882,0.028
845,14367.5,23.6,9.910,0.028
844,14391.1,23.7,9.938,0.028
843,14414.8,23.7,9.966,0.028
842,14438.5,23.8,9.994,0.029
841,14462.3,23.9,10.023,0.028
840,14486.2,23.9,10.051,0.028
839,14510.1,23.9,10.079,0.029
838,14534.0,24.0,10.108,0.028
837,14558.0,24.1,10.136,0.029
836,14582.1,24.1,10.165,0.029
835,14606.2,24.2,10.194,0.029
834,14630.4,24.3,10.223,0.029
833,14654.7,24.3,10.252,0.029
832,14679.0,24.4,10.281,0.030
831,14703.4,24.4,10.311,0.029
830,14727.8,24.5,10.340,0.029
829,14752.3,24.5,10.369,0.030
828,14776.8,24.6,10.399,0.030
827,14801.4,24.7,10.429,0.030
826,14826.1,24.7,10.459,0.030
825,14850.8,24.8,10.489,0.030
824,14875.6,24.9,10.519,0.030
823,14900.5,24.9,10.549,0.030
822,14925.4,25.0,10.579,0.030
821,14950.4,25.0,10.609,0.031
820,14975.4,25.1,10.640,0.031
819,15000.5,25.1,10.671,0.030
818,15025.6,25.2,10.701,0.031
